ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,timestamp,occupanct_rate,occupancy_rate,price,vehicle_weight,traffic_level_encoded,raw_demand,normalized_demand,price_model2
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,2016-10-04 07:59:00,0.10571923743500866,0.10571923743500866,10.0,1.5,0,1.8268630849220102,0.15552527036594707,10.777626351829735
5248,BHMNCPHST01,1200,26.14001386,91.73099967,237,bike,low,2,0,2016-10-04 07:59:00,0.1975,0.1975,10.0,1.0,0,2.4370000000000003,0.20487853871556067,11.024392693577802
3936,BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0,2016-10-04 07:59:00,0.38427947598253276,0.38427947598253276,10.0,1.5,0,2.961135371179039,0.24727524179329025,11.236376208966451
6560,BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0,2016-10-04 07:59:00,0.51340206185567,0.51340206185567,10.0,1.5,0,3.116082474226804,0.25980873348627215,11.299043667431361
17056,Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0,2016-10-04 07:59:00,0.31979166666666664,0.31979166666666664,10.0,0.5,0,2.28375,0.19248232372238736,10.962411618611936
2624,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,2016-10-04 07:59:00,0.24893617021276596,0.24893617021276596,10.0,1.5,0,2.798723404255319,0.23413792590780516,11.170689629539027
7872,Broad Street,690,26.13795775,91.74099445,178,car,low,2,0,2016-10-04 07:59:00,0.2579710144927536,0.2579710144927536,10.0,1.5,0,2.809565217391304,0.2350149076144902,11.175074538072451
14432,Others-CCCPS8,1322,26.14754886,91.72799519,445,bike,average,3,0,2016-10-04 07:59:00,0.33661119515885024,0.33661119515885024,10.0,1.0,1,2.9039334341906207,0.2426482433663122,11.213241216831559
9184,Others-CCCPS105a,2009,26.14747299,91.72804914,709,car,low,2,0,2016-10-04 07:59:00,0.35291189646590343,0.35291189646590343,10.0,1.5,0,2.9234942757590843,0.24423049718380044,11.221152485919001
10496,Others-CCCPS119a,2803,26.14754061,91.72797041,195,car,low,1,0,2016-10-04 07:59:00,0.06956831965750981,0.06956831965750981,10.0,1.5,0,1.7834819835890117,0.1520162233267008,10.760081116633504
1312,BHMBCCTHL01,387,26.14449459,91.73620513,120,car,low,2,0,2016-10-04 07:59:00,0.31007751937984496,0.31007751937984496,10.0,1.5,0,2.8720930232558137,0.2400727094059934,11.200363547029967
11808,Others-CCCPS135a,3883,26.14749943,91.72800489,1081,car,low,2,0,2016-10-04 07:59:00,0.27839299510687615,0.27839299510687615,10.0,1.5,0,2.8340715941282513,0.2369972000434292,11.184986000217146
13120,Others-CCCPS202,2937,26.14749053,91.72799688,547,bike,low,2,0,2016-10-04 07:59:00,0.18624446714334356,0.18624446714334356,10.0,1.0,0,2.4234933605720124,0.20378600229673777,11.01893001148369
15744,Others-CCCPS98,3103,26.14749998,91.72797778,588,car,average,2,0,2016-10-04 07:59:00,0.1894940380277151,0.1894940380277151,10.0,1.5,1,2.227392845633258,0.1879236587831796,10.939618293915899
14433,Others-CCCPS8,1322,26.14754886,91.72799519,478,truck,low,2,0,2016-10-04 08:25:00,0.3615733736762481,0.3615733736762481,10.0,2.0,0,3.2338880484114974,0.2693378899299112,11.346689449649556
6561,BHMNCPNST01,485,26.14004753,91.73097233,267,truck,low,2,0,2016-10-04 08:25:00,0.5505154639175258,0.5505154639175258,10.0,2.0,0,3.4606185567010312,0.28767785812742197,11.43838929063711
9185,Others-CCCPS105a,2009,26.14747299,91.72804914,780,car,average,3,0,2016-10-04 08:25:00,0.38825286212045795,0.38825286212045795,10.0,1.5,1,3.26590343454455,0.2719275774313453,11.359637887156726
13121,Others-CCCPS202,2937,26.14749053,91.72799688,665,car,low,2,0,2016-10-04 08:25:00,0.22642151855635,0.22642151855635,10.0,1.5,0,2.77170582226762,0.23195250499481854,11.159762524974093
11809,Others-CCCPS135a,3883,26.14749943,91.72800489,1467,bike,low,3,0,2016-10-04 08:25:00,0.3778006695853721,0.3778006695853721,10.0,1.0,0,3.453360803502447,0.28709078687771855,11.435453934388594
1313,BHMBCCTHL01,387,26.14449459,91.73620513,129,car,average,2,0,2016-10-04 08:25:00,0.3333333333333333,0.3333333333333333,10.0,1.5,1,2.4,0.20188565157202126,11.009428257860105
3937,BHMMBMMBX01,687,20.0000347,78.00000286,302,car,low,1,0,2016-10-04 08:25:00,0.4395924308588064,0.4395924308588064,10.0,1.5,0,2.2275109170305676,0.1879332094417479,10.93966604720874
2625,BHMEURBRD01,470,26.14901995,91.7395035,174,bike,low,1,0,2016-10-04 08:25:00,0.3702127659574468,0.3702127659574468,10.0,1.0,0,1.8442553191489361,0.15693210804743873,10.784660540237194
15745,Others-CCCPS98,3103,26.14749998,91.72797778,678,bike,average,3,0,2016-10-04 08:25:00,0.21849822752175313,0.21849822752175313,10.0,1.0,1,2.7621978730261043,0.23118341799356562,11.15591708996783
7873,Broad Street,690,26.13795775,91.74099445,269,car,low,2,0,2016-10-04 08:25:00,0.3898550724637681,0.3898550724637681,10.0,1.5,0,2.9678260869565216,0.24781644604279032,11.239082230213953
10497,Others-CCCPS119a,2803,26.14754061,91.72797041,238,car,average,2,0,2016-10-04 08:25:00,0.0849090260435248,0.0849090260435248,10.0,1.5,1,2.1018908312522298,0.1777719462067127,10.888859731033564
17057,Shopping,1920,26.15050395,91.73353109,761,car,low,2,0,2016-10-04 08:25:00,0.3963541666666667,0.3963541666666667,10.0,1.5,0,2.975625,0.2484472910855311,11.242236455427657
5249,BHMNCPHST01,1200,26.14001386,91.73099967,315,bike,low,2,0,2016-10-04 08:25:00,0.2625,0.2625,10.0,1.0,0,2.515,0.21118786836950856,11.055939341847543
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,2016-10-04 08:25:00,0.11091854419410745,0.11091854419410745,10.0,1.5,0,1.8331022530329288,0.15602994944771867,10.780149747238594
14434,Others-CCCPS8,1322,26.14754886,91.72799519,518,car,average,3,0,2016-10-04 08:59:00,0.3918305597579425,0.3918305597579425,10.0,1.5,1,3.2701966717095314,0.2722748524128383,11.361374262064192
1314,BHMBCCTHL01,387,26.14449459,91.73620513,155,car,low,2,0,2016-10-04 08:59:00,0.4005167958656331,0.4005167958656331,10.0,1.5,0,2.9806201550387597,0.2488513433908146,11.244256716954073
10498,Others-CCCPS119a,2803,26.14754061,91.72797041,323,car,low,2,0,2016-10-04 08:59:00,0.11523367820192651,0.11523367820192651,10.0,1.5,0,2.6382804138423115,0.22115987825164019,11.105799391258202
17058,Shopping,1920,26.15050395,91.73353109,958,car,low,2,0,2016-10-04 08:59:00,0.49895833333333334,0.49895833333333334,10.0,1.5,0,3.09875,0.2584067297219713,11.292033648609856
11810,Others-CCCPS135a,3883,26.14749943,91.72800489,2007,car,low,2,0,2016-10-04 08:59:00,0.516868400721092,0.516868400721092,10.0,1.5,0,3.12024208086531,0.26014519924926044,11.300725996246301
7874,Broad Street,690,26.13795775,91.74099445,415,bike,low,3,0,2016-10-04 08:59:00,0.6014492753623188,0.6014492753623188,10.0,1.0,0,3.721739130434783,0.30879959888529696,11.543997994426485
6562,BHMNCPNST01,485,26.14004753,91.73097233,278,car,low,2,0,2016-10-04 08:59:00,0.5731958762886598,0.5731958762886598,10.0,1.5,0,3.187835051546392,0.26561271635588324,11.328063581779414
2626,BHMEURBRD01,470,26.14901995,91.7395035,269,truck,low,2,0,2016-10-04 08:59:00,0.5723404255319149,0.5723404255319149,10.0,2.0,0,3.4868085106382978,0.28979633316603637,11.448981665830182
3938,BHMMBMMBX01,687,20.0000347,78.00000286,346,truck,low,2,0,2016-10-04 08:59:00,0.5036390101892285,0.5036390101892285,10.0,2.0,0,3.4043668122270745,0.2831277196723471,11.415638598361735
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,2016-10-04 08:59:00,0.1386481802426343,0.1386481802426343,10.0,1.5,0,2.666377816291161,0.22343264459099194,11.11716322295496
